연도,도로종류,지점번호,호선,구간,차로,도/시,시/군,읍/면,동/리,구분, AADT ,XCODE,YCODE
2024,3,1132-12 ,1132,서귀포시-중문동,6,제주,서귀포, ,법환,수시," 19,630 ",33.24765,126.51845
2024,3,1132-15 ,1132,창천리-대정읍,4,제주,서귀포,대정,보성,수시," 14,253 ",33.24901,126.28068
2024,3,1132-21 ,1132,서귀포시-중문동,4,제주,서귀포, ,동흥,수시," 28,097 ",33.25462,126.56842
2024,3,1135-05 ,1135,서광동리-대정읍,4,제주,서귀포,대정,안성,수시," 9,432 ",33.25469,126.28453
2024,3,1139-01 ,1139,제주시-중문동,4,제주,서귀포, ,중문,수시," 4,317 ",33.25894,126.43922
2024,3,1136-11 ,1136,중문동-상효동,4,제주,서귀포, ,호근,수시," 16,341 ",33.26132,126.5253
2024,3,1136-09 ,1136,하예동-중문동,4,제주,서귀포, ,색달,수시," 19,840 ",33.26233,126.42658
2024,3,1132-13 ,1132,중문동-창천리,4,제주,서귀포, ,상예,수시," 14,153 ",33.26509,126.3731
2024,3,1131-01 ,1131,서귀포시-영평동,4,제주,서귀포, ,상효,수시," 19,773 ",33.26923,126.58538
2024,3,1120-01 ,1120,하모리-신평리,2,제주,서귀포,대정,무릉2,수시," 2,124 ",33.27054,126.24552
2024,3,1136-07 ,1136,상가리-창천리,2,제주,서귀포,대정,신평,수시," 1,926 ",33.27188,126.24688
2024,3,1136-12 ,1136,상효동-신례리,2,제주,서귀포, ,상효,수시," 8,320 ",33.27309,126.59734
2024,3,1136-08 ,1136,상가리-창천리,4,제주,서귀포,안덕,상창,수시," 5,427 ",33.28058,126.35885
2024,3,1136-23 ,1136,신평리-서광리,2,제주,서귀포,대정,구억,수시," 7,563 ",33.28099,126.28623
2024,3,1132-10 ,1132,남원읍-서귀포시,4,제주,서귀포,남원,남원,수시," 9,314 ",33.28321,126.71893
2024,3,1116-05 ,1116,동광리-상창리,4,제주,서귀포,안덕,광평,수시," 24,560 ",33.28469,126.35366
2024,5,99-01   ,99,남원리-의귀리,4,제주,서귀포,남원,남원,수시," 6,171 ",33.28528,126.72087
2024,3,1136-24 ,1136,서광리-상창리,2,제주,서귀포,안덕,서광,수시," 5,502 ",33.28639,126.33106
2024,3,1139-02 ,1139,제주시-중문동,2,제주,서귀포, ,영남,수시," 4,189 ",33.28887,126.45776
2024,3,1115-02 ,1115,하원동-상효동,2,제주,서귀포, ,동홍,수시," 6,638 ",33.29173,126.55509
2024,3,1132-17 ,1132,대정읍-한림읍,4,제주,제주,한경,고산,수시," 2,940 ",33.30923,126.18469
2024,3,1132-09 ,1132,표선면-남원읍,4,제주,서귀포,표선,표선,수시," 7,974 ",33.30943,126.81258
2024,3,1139-03 ,1139,제주시-중문동,2,제주,서귀포, ,대포,수시," 1,753 ",33.31195,126.45748
2024,3,1120-03 ,1120,신평리-한경면,2,제주,제주,한경,청수,수시," 2,152 ",33.31729,126.24691
2024,3,1136-14 ,1136,신례리-성읍리,2,제주,서귀포,남원,신흥,수시," 1,772 ",33.32086,126.75067
2024,3,1131-02 ,1131,서귀포시-영평동,4,제주,서귀포,남원,신례,수시," 10,822 ",33.32162,126.59967
2024,3,1135-03 ,1135,광평리-서광동리,4,제주,서귀포,안덕,동광,수시," 33,031 ",33.32515,126.35232
2024,5,99-02   ,99,수망리-교래리,2,제주,서귀포,남원,수망,수시," 4,801 ",33.32922,126.71243
2024,3,1115-01 ,1115,안덕면-하원동,4,제주,서귀포,안덕,광평,수시," 5,441 ",33.33145,126.3583
2024,5,97-09   ,97,성읍리-표선리,4,제주,서귀포,표선,표선,수시," 2,994 ",33.33586,126.82843
2024,3,1116-03 ,1116,금악리-동광리,2,제주,제주,한림,금악,수시," 6,906 ",33.35708,126.29679
2024,3,1136-05 ,1136,상가리-창천리,2,제주,제주,한림,명월,수시," 3,389 ",33.37397,126.28474
2024,3,1132-18 ,1132,대정읍-한림읍,4,제주,제주,한림,월령,수시," 8,124 ",33.37469,126.21553
2024,3,1135-02 ,1135,북제주-애월읍,4,제주,제주,애월,어음,수시," 53,401 ",33.37858,126.37042
2024,3,1117-03 ,1117,해안동-애월읍,2,제주,제주,애월,어음,수시," 3,589 ",33.38876,126.37645
2024,3,1136-16 ,1136,성읍리-송당리,2,제주,서귀포,표선,성읍,수시," 10,514 ",33.3898,126.79871
2024,3,1120-02 ,1120,한경면-한림읍,2,제주,제주,한림,명월,수시," 2,609 ",33.39096,126.26376
2024,3,1123-02 ,1123,상가리-상가리,2,제주,제주,애월,상가,수시," 1,932 ",33.40508,126.37581
