행정구역,순위,인구 천명당 사업체수(개),비율(%),lat,lon
합계,,488369.26,100.0,,
서울특별시 중구 명동,1.0,3176.58,0.65,37.5583576447484,126.985241620075
서울특별시 중구 을지로동,2.0,2663.2,0.55,37.5665933374822,126.991062500268
서울특별시 종로구 종로1·2·3·4가동,3.0,2388.49,0.49,37.5744355396605,126.990287260844
부산광역시 중구 광복동,4.0,2315.14,0.47,35.0999627666088,129.030392960022
부산광역시 중구 남포동,5.0,2105.36,0.43,35.0974142915974,129.031680636972
서울특별시 서초구 반포본동,6.0,2100.92,0.43,37.5021245375348,126.986921945669
서울특별시 중구 회현동,7.0,1976.94,0.4,37.5572755681352,126.979370256256
서울특별시 중구 소공동,8.0,1730.59,0.35,37.5638997702146,126.97979400965
경기도 시흥시 과림동,9.0,1348.79,0.28,37.4368784262936,126.832858488762
서울특별시 중구 신당동,10.0,1250.83,0.26,37.5620157313143,127.014442188261
부산광역시 중구 중앙동,11.0,1244.27,0.25,35.1013180752778,129.035339122928
서울특별시 종로구 종로5·6가동,12.0,1229.96,0.25,37.5720319758374,127.005071290563
서울특별시 중구 광희동,13.0,1229.18,0.25,37.5644311770076,127.005052665365
대구광역시 중구 성내1동,14.0,1061.66,0.22,35.8666446420244,128.595789411129
광주광역시 동구 충장동,15.0,1056.49,0.22,35.1492133889208,126.917785085987
광주광역시 서구 서창동,16.0,1055.19,0.22,35.1089386096396,126.829530539395
경기도 광명시 학온동,17.0,928.65,0.19,37.4154445224117,126.851355125029
강원특별자치도 원주시 중앙동,18.0,927.95,0.19,37.3494276381688,127.950749503169
부산광역시 강서구 대저2동,19.0,909.75,0.19,35.1785857250486,128.956533692716
서울특별시 금천구 가산동,20.0,885.52,0.18,37.4768763179224,126.891779471155
대구광역시 중구 성내2동,21.0,878.93,0.18,35.8683709890346,128.590372564871
대전광역시 동구 중앙동,22.0,877.01,0.18,36.3346003029631,127.438825197671
서울특별시 강동구 둔촌1동,23.0,846.15,0.17,37.5234828526613,127.136691235677
경기도 광명시 광명1동,24.0,810.81,0.17,37.4886204250475,126.862653173607
전라남도 여수시 삼일동,25.0,805.68,0.16,34.825166243366,127.731250141775
서울특별시 성동구 성수2가3동,26.0,759.69,0.16,37.5482184239097,127.055250421934
부산광역시 강서구 대저1동,27.0,728.59,0.15,35.2154530980856,128.976815094369
경기도 하남시 춘궁동,28.0,727.88,0.15,37.5221445769109,127.194150708904
부산광역시 동구 범일2동,29.0,702.06,0.14,35.1365207853125,129.062021505661
