adm_cd,population,traffic,tourism,commercial_density,full_name
1111053000,8377.0,50209.0,3.0,0.12,
1111054000,2115.0,50209.0,0.0,0.1,
1111061500,6901.0,50209.0,136.0,0.49,
1114055000,2656.0,44052.25,103.0,0.65,
1114058000,6058.0,25582.0,12.0,0.03,
1114059000,7047.0,25582.0,81.0,0.25,
1117051000,15664.0,196415.0,2.0,0.02,
1117062500,16714.0,62251.0,5.0,0.03,
1117065000,7479.0,62251.0,10.0,0.05,
1117068500,18625.0,25582.0,3.0,0.04,
1120055000,15965.0,25582.0,0.0,0.02,
1120058000,14295.0,25582.0,0.0,0.01,
1120065000,15084.0,25582.0,3.0,0.04,
1120066000,11942.0,25582.0,2.0,0.08,
1120067000,14856.0,25582.0,7.0,0.04,
1120069000,10141.0,25582.0,3.0,0.16,
1120079000,13091.0,25582.0,2.0,0.04,
1123053600,24787.0,25582.0,26.0,0.04,
1123070500,18682.0,25582.0,16.0,0.02,
1123072000,16041.0,25582.0,10.0,0.02,
1129068500,21503.0,35408.0,2.0,0.01,
1130561500,19484.0,35408.0,13.0,0.02,
1132069000,27134.0,35408.0,3.0,0.02,
1138055100,14218.0,50209.0,7.0,0.02,
1138064000,17717.0,196415.0,0.0,0.01,
1141065500,12728.0,50209.0,0.0,0.01,
1144058500,19724.0,196415.0,5.0,0.03,
1144059000,20491.0,196415.0,2.0,0.03,
1144060000,16483.0,196415.0,24.0,0.02,
1144065500,25641.0,196415.0,1.0,0.02,
1144066000,25611.0,196415.0,24.0,0.10000000000000002,
1144069000,18586.0,196415.0,1.0,0.03,
1144071000,14713.0,196415.0,0.0,0.04,
1147053000,20499.0,196415.0,0.0,0.02,
1150052000,24308.0,196415.0,1.0,0.02,
1150055000,16919.0,196415.0,0.0,0.01,
1153072000,26432.0,196415.0,2.0,0.02,
1153077000,23223.0,9736.0,13.0,0.02,
1154551000,28267.0,28922.0,26.0,0.18,
1154567000,34370.0,28922.0,14.0,0.02,
1156053500,30206.0,196415.0,87.0,0.1,
1156055000,20620.0,196415.0,28.0,0.06,
1156060500,31446.0,196415.0,4.0,0.05,
1156062000,22117.0,196415.0,9.0,0.03,
1159052000,34569.0,196415.0,2.0,0.01,
1159062000,22528.0,62251.0,4.0,0.02,
1165051000,19722.0,62251.0,2.0,0.05,
1165053000,30140.0,62251.0,14.0,0.08,
1165058000,22198.0,62251.0,0.0,0.01,
1165061000,17091.0,62251.0,0.0,0.03,
1168052100,20550.0,62251.0,11.0,0.08,
1168053100,19566.0,25582.0,9.0,0.09,
1168056500,22903.0,25582.0,6.0,0.06,
1168059000,28760.0,25582.0,13.0,0.04,
1168064000,33619.0,25582.0,42.0,0.12,
1171056200,25888.0,25582.0,33.0,0.04,
1171064200,27372.0,52885.0,1.0,0.09,
1171068000,31835.0,25582.0,1.0,0.01,
1174056000,22432.0,25582.0,0.0,0.01,
1174064000,18705.0,25582.0,0.0,0.03,
1174065000,23265.0,25582.0,1.0,0.02,
1174066000,21833.0,25582.0,3.0,0.03,
2611051000,4016.0,22984.0,16.0,0.25,
2611056000,4424.0,22984.0,29.0,0.1,
2611058000,1082.0,22984.0,58.0,0.43,
2611059000,4778.0,22984.0,11.0,0.03,
2617051000,5433.0,22984.0,36.0,0.06,
2617053000,13015.0,22984.0,36.0,0.05,
2617055000,5270.0,22984.0,0.0,0.01,
2617064500,11237.0,22984.0,1.0,0.01,
2617066000,7337.0,22984.0,28.0,0.14,
2620059000,6102.0,22984.0,7.0,0.03,
2620066000,8657.0,22984.0,10.0,0.01,
2623051000,15192.0,22984.0,68.0,0.08,
2623052000,11148.0,22984.0,83.0,0.1,
2623057000,14018.0,22984.0,6.0,0.02,
2623060000,20543.0,22984.0,11.0,0.03,
2623061000,22674.0,22984.0,5.0,0.04,
2623064000,10746.0,22984.0,6.0,0.01,
2623068000,10746.0,22984.0,6.0,0.01,
2623071000,20267.0,28715.0,0.0,0.01,
2623074000,18188.0,28715.0,7.0,0.02,
2623077000,12180.0,22984.0,26.0,0.06,
2626060000,16564.0,22984.0,0.0,0.02,
2626076200,13552.0,22984.0,1.0,0.01,
2629054000,12743.0,22984.0,1.0,0.01,
2629061000,8463.0,22984.0,3.0,0.03,
2629064500,11943.0,22984.0,0.0,0.01,
2632051000,11260.0,28715.0,17.0,0.04,
