연도,구분,업체명,소재지,매칭_행정구역,X좌표,Y좌표,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율)
2015,휴업,(주)유림에너지 대기주유소,대구광역시 북구 팔달로41 (노원동3가),대구광역시 북구 노원동,128.5549696,35.89122744,10688,156089,10,691.24
2015,폐업,㈜소모석유 상무제일주유소,광주광역시 서구 상무시민로142 (치평동),광주광역시 서구 치평동,126.8544772,35.15521746,29447,101257,59,199.41
2015,휴업,활주로주유소,전라남도 나주시 산남로141 (산포면),전라남도 나주시 산포면,126.8285203,35.04573527,2762,37168,0,212.53
2015,휴업,팔공산한마음주유소,대구광역시 동구 팔공산로283 (덕곡동),대구광역시 동구 공산동,128.6163961,35.99142931,20734,32970,26,71.81
2015,휴업,태양주유소,부산광역시 부산진구 성지로60 (연지동),부산광역시 부산진구 연지동,129.0549372,35.17599936,25096,74754,2,51.56
2015,휴업,몽촌주유소,서울특별시 송파구 백제고분로475 (방이동),서울특별시 송파구 방이2동,127.1134762,37.51302036,25888,239718,33,189.05
2015,폐업,쇄노재주유소,전남 해남군 북평면 백도로 531,전라남도 해남군 북평면,126.6552575,34.44718189,2472,2981,2,133.9
2015,휴업,삽교호주유소,충청남도 당진시 삽교천길88,충청남도 당진시 신평면,126.8246872,36.88683882,15418,20385,14,130.37
2015,휴업,드림(하나)주유소,경기도 고양시 일산서구 덕이로36 (덕이동),경기도 고양시 일산서구 덕이동,126.7553964,37.68989564,29655,44808,0,108.85
2015,휴업,남광석유판매㈜ 직영 중동주유소,경상남도 창원시 의창구 의안로27번길 19 (중동),경상남도 창원시 의창구 의창동,128.6217934,35.26386447,48601,47689,2,84.07
2015,휴업,광남주유소,부산광역시 수영구 광남로83 (광안동),부산광역시 수영구 광안2동,129.113659,35.14968885,18085,48622,56,117.94
2015,휴업,남부안농민회주유소,전북 부안군 보안면 청자로 1518,전북특별자치도 부안군 보안면,126.6545413,35.61052194,2206,3683,0,215.78
2015,휴업,청산주유소,충청북도 옥천군 지전길8 (청산면),충청북도 옥천군 청산면,127.7958722,36.34401095,2782,1714,2,159.24
2015,휴업,종합주유소,울산광역시 중구 북부순환도로784 (남외동),울산광역시 중구 병영1동,129.3398031,35.5747758,20501,6121,4,81.26
2015,휴업,세화주유소,경상북도 경주시 금성로336 (서부동),경상북도 경주시 황오동,129.207215,35.84757648,5937,25475,155,283.48
2015,휴업,SK네트웍스㈜ 옥천주유소,강원도 강릉시 율곡로2846 (옥천동),강원특별자치도 강릉시 옥천동,128.897388,37.75805059,3236,23469,52,514.83
2015,폐업,세화주유소,경상북도 경주시 금성로336 (서부동),경상북도 경주시 황오동,129.207215,35.84757648,5937,25475,155,283.48
2015,폐업,해피데이주유소,광주광역시 서구 풍서우로94 (매월동),광주광역시 서구 금호2동,126.8514514,35.12558936,27022,39702,3,67.17
2015,휴업,우리동네주유소,전라남도 광양시 제철로137 (광양읍),전라남도 광양시 광양읍,127.6088015,34.95290669,46552,7937,39,133.64
