행정구역,순위,2023년 수(명),비율(%),lat,lon
합계,,51774521.0,100.0,,
경상남도 양산시 물금읍,1.0,118027.0,0.23,35.3104192438843,128.987276732779
경기도 남양주시 화도읍,2.0,112105.0,0.22,37.657910347873,127.300352454876
경기도 화성시 향남읍,3.0,98676.0,0.19,37.1324330694414,126.920343984223
경기도 남양주시 다산1동,4.0,98503.0,0.19,37.6139988492786,127.155422645479
경기도 남양주시 진접읍,5.0,96569.0,0.19,37.7263004861765,127.189886481276
경기도 화성시 봉담읍,6.0,95584.0,0.18,37.2200677257085,126.949541707928
대구광역시 달성군 다사읍,7.0,92560.0,0.18,35.8722148474928,128.494266152885
충청남도 아산시 배방읍,8.0,86956.0,0.17,36.7738248327742,127.05384284728
경상남도 김해시 북부동,9.0,82345.0,0.16,35.2623341149956,128.867564909697
부산광역시 기장군 정관읍,10.0,79489.0,0.15,35.3254560170889,129.18033192383
경기도 남양주시 별내동,11.0,77318.0,0.15,37.6462466000952,127.121972451813
광주광역시 광산구 수완동,12.0,74166.0,0.14,35.1970499262149,126.825617616935
경상남도 김해시 내외동,13.0,72268.0,0.14,35.2352136162793,128.864658218805
경상남도 김해시 장유3동,14.0,71923.0,0.14,35.1776788440875,128.806095504259
경상북도 포항시 북구 장량동,15.0,70669.0,0.14,36.0819854755965,129.385892776218
충청북도 청주시 청원구 오창읍,16.0,68963.0,0.13,36.7423562993671,127.454499829132
경기도 파주시 운정3동,17.0,67061.0,0.13,37.7171144963163,126.743628293521
울산광역시 울주군 범서읍,18.0,65700.0,0.13,35.5686301683066,129.230585133979
전북특별자치도 전주시 덕진구 송천1동,19.0,63864.0,0.12,35.8571148738597,127.12091303694
인천광역시 서구 아라동,20.0,62573.0,0.12,37.5867632122243,126.710458618582
경기도 파주시 운정2동,21.0,62405.0,0.12,37.7258049497108,126.741016632767
경기도 안성시 공도읍,22.0,62193.0,0.12,37.001048203596,127.172541466359
충청남도 천안시 서북구 부성2동,23.0,62000.0,0.12,36.8386372025125,127.128139825928
경상남도 창원시 마산회원구 내서읍,24.0,61497.0,0.12,35.2467853123731,128.507669257485
경기도 화성시 남양읍,25.0,59487.0,0.11,37.1930203313884,126.821319091973
경상남도 김해시 진영읍,26.0,58975.0,0.11,35.3044678767131,128.736863019424
충청남도 천안시 동남구 청룡동,27.0,58598.0,0.11,36.7860682304211,127.156736822108
경기도 김포시 풍무동,28.0,58373.0,0.11,37.6021655287892,126.722040391363
경기도 평택시 비전2동,29.0,57579.0,0.11,36.9902647391876,127.111773318893
제주특별자치도 제주시 노형동,30.0,57043.0,0.11,33.4830787814699,126.477191625107
충청북도 청주시 상당구 용암1동,31.0,56962.0,0.11,36.6088669077468,127.501375645957
경상북도 포항시 남구 오천읍,32.0,56958.0,0.11,35.9631089905042,129.414715591134
경기도 김포시 김포본동,33.0,56839.0,0.11,37.6339819073162,126.710379733033
전라남도 광양시 중마동,34.0,56681.0,0.11,34.9406765748839,127.697373408968
경기도 이천시 증포동,35.0,56466.0,0.11,37.2903779816379,127.452488600869
경기도 의정부시 송산1동,36.0,56309.0,0.11,37.7311209119166,127.086813500218
경기도 남양주시 와부읍,37.0,55010.0,0.11,37.5854310580652,127.216655241381
경기도 화성시 동탄7동,38.0,55001.0,0.11,37.1705483909131,127.110457438982
경기도 남양주시 호평동,39.0,54989.0,0.11,37.6548880029093,127.248669169781
경기도 시흥시 은행동,40.0,54550.0,0.11,37.4363339032197,126.798035072094
전라남도 순천시 해룡면,41.0,54264.0,0.1,34.9137220958035,127.537706930417
경상남도 김해시 장유1동,42.0,54254.0,0.1,35.2012148013134,128.812839697614
충청북도 청주시 흥덕구 가경동,43.0,54189.0,0.1,36.6288623975897,127.433046117468
대전광역시 유성구 온천2동,44.0,54074.0,0.1,36.3654440005175,127.333367440737
부산광역시 강서구 명지1동,45.0,53576.0,0.1,35.1116319542869,128.917941543225
인천광역시 서구 검암경서동,46.0,53521.0,0.1,37.564419795723,126.673605568727
경기도 수원시 영통구 광교1동,47.0,53335.0,0.1,37.290206208079,127.047406039657
서울특별시 은평구 진관동,48.0,52789.0,0.1,37.6349668825061,126.92106591289
경기도 하남시 미사1동,49.0,52455.0,0.1,37.5603159330876,127.188807992731
경기도 광주시 초월읍,50.0,52317.0,0.1,37.3852482375455,127.287960741314
인천광역시 연수구 송도3동,51.0,52283.0,0.1,37.3698984232222,126.656667188191
전북특별자치도 군산시 수송동,52.0,52171.0,0.1,35.9648059712565,126.717741526776
경기도 안산시 단원구 초지동,53.0,52046.0,0.1,37.3100013406105,126.816873385207
부산광역시 기장군 기장읍,54.0,51393.0,0.1,35.2387101064303,129.215856260425
경기도 화성시 동탄4동,55.0,51346.0,0.1,37.1996650027264,127.112414729074
경기도 용인시 수지구 성복동,56.0,51222.0,0.1,37.3164877954823,127.069042233375
경기도 남양주시 오남읍,57.0,51025.0,0.1,37.6988320956872,127.204693271504
충청남도 천안시 서북구 부성1동,58.0,51022.0,0.1,36.8427719304676,127.152210937845
경기도 양주시 옥정2동,59.0,51014.0,0.1,37.8214096909349,127.09434261652
경기도 화성시 진안동,60.0,51009.0,0.1,37.2133226522339,127.03496075268
경기도 평택시 비전1동,61.0,50766.0,0.1,37.0109387886738,127.112167634516
대구광역시 달서구 진천동,62.0,50657.0,0.1,35.8122174631828,128.52283559965
서울특별시 강서구 화곡1동,63.0,50568.0,0.1,37.5303934432113,126.841601310694
충청북도 청주시 흥덕구 복대1동,64.0,49996.0,0.1,36.6355145572482,127.432546641702
