field1,field2,field3,field4,field5,field6,_GC_TYPE,_CLEANADDR,_PNU,_X,_Y,숙박업소(관광지수),인구[명],상권밀집도(비율),교통량(AADT),adm_cd2,recommend1,recommend2,recommend3
2020,2020-01-16,주유소,폐업,동흥주유소,대구광역시 달성군 비슬로566 (현풍면),유,대구광역시 달성군 비슬로 569 (현풍읍),2771026526101960000,128.44564281922678,35.689819409439494,10,24030.0,0.02,38839.0,2771026500.0,자동차관련시설,판매시설,기타
2019,2019-12-23,주유소,폐업,상신주유소,경기도 안양시 동안구 시민대로65 (호계동),유,경기도 안양시 동안구 시민대로 63 (호계동),4117310400108990007,126.94128829531728,37.384645350527975,19,8900.0,0.02,64576.0,4117359000.0,가설건축,업무시설,기타
2019,2019-12-17,주유소,폐업,글로벌에너지,울산광역시 울주군 언양읍 북문4길 8,정,울산광역시 울주군 북문4길 8 (언양읍),3171025330103730015,129.12481238556765,35.57055071282016,11,31333.0,0.02,53247.0,3171025300.0,판매시설,가설건축,공동주택
2020,2020-01-20,주유소,휴업,화물기지현대주유소,경상북도 칠곡군 칠곡대로1913 (왜관읍),정,경상북도 칠곡군 칠곡대로 1913 (왜관읍),4785025025109930001,128.43535760522047,35.97282935330963,18,32613.0,0.03,25080.0,4785025000.0,가설건축,자동차관련시설,판매시설
2020,2020-02-12,주유소,폐업,해평농협도개지점주유소,경상북도 구미시 도안로79 (도개면),정,경상북도 구미시 도안로 79 (도개면),4719033025108090014,128.33221156684783,36.29766694711864,1,2051.0,0.03,1472.0,4719033000.0,가설건축,공장,근린생활시설
2020,2020-02-13,주유소,폐업,용황주유소,경상북도 경주시 원화로494 (용강동),정,경상북도 경주시 원화로 494 (용강동),4713012500113150005,129.22262652437192,35.86418775687309,2,25201.0,0.01,25475.0,4713061500.0,가설건축,자동차관련시설,공동주택
2020,2020-03-24,주유소,휴업,에스원에너지(주) 용상주유소,경상북도 경산시 대경로98 (하양읍),정,경상북도 경산시 대경로 98 (하양읍),4729025034104400007,128.765231420919,35.87939753905178,6,21141.0,0.02,72253.0,4729025000.0,가설건축,판매시설,업무시설
2020,2020-03-06,주유소,휴업,선읍주유소,경기도 이천시 경충대로399 (장호원읍),정,경기도 이천시 경충대로 399 (장호원읍),4150025028100010002,127.59446511340327,37.14187429847565,11,14549.0,0.02,15636.0,4150025000.0,가설건축,자동차관련시설,공장
2020,2020-02-18,주유소,휴업,혁신주유소,울산광역시 중구 북부순환도로492 (교동),정,울산광역시 중구 북부순환도로 492 (교동),3111010700101520008,129.31471040184206,35.56266172242178,8,16892.0,0.01,24520.0,,판매시설,공동주택,자동차관련시설
2020,2020-02-25,주유소,휴업,KH에너지(주) 직영 미산주유소,경기도 시흥시 시흥대로944 (미산동),정,경기도 시흥시 시흥대로 944 (미산동),4139010500102510001,126.78972715758248,37.42068623535343,3,9283.0,0.05,24733.0,4139053100.0,가설건축,판매시설,자동차관련시설
2020,2020-02-20,주유소,휴업,길명주유소,경기도 포천시 영일로697 (일동면),정,경기도 포천시 영일로 697 (일동면),4165037021104520008,127.2834475110619,37.93869593411615,5,3041.0,0.03,15901.0,4165037000.0,가설건축,기타,공동주택
