field5,field6,_CLEANADDR,_PNU,_X,_Y,공시지가,공시일자,특수지구분명,데이터기준일자
동흥주유소,대구광역시 달성군 비슬로566 (현풍면),대구광역시 달성군 비슬로 569 (현풍읍),2771026526101960000,128.44564281922678,35.689819409439494,621500,2025-04-30,일반,2025-06-18
상신주유소,경기도 안양시 동안구 시민대로65 (호계동),경기도 안양시 동안구 시민대로 63 (호계동),4117310400108990007,126.94128829531728,37.384645350527975,3147000,2025-04-30,일반,2025-06-18
글로벌에너지,울산광역시 울주군 언양읍 북문4길 8,울산광역시 울주군 북문4길 8 (언양읍),3171025330103730015,129.12481238556765,35.57055071282016,947400,2025-04-30,일반,2025-06-18
화물기지현대주유소,경상북도 칠곡군 칠곡대로1913 (왜관읍),경상북도 칠곡군 칠곡대로 1913 (왜관읍),4785025025109930001,128.43535760522047,35.97282935330963,452800,2025-04-30,일반,2025-06-18
해평농협도개지점주유소,경상북도 구미시 도안로79 (도개면),경상북도 구미시 도안로 79 (도개면),4719033025108090014,128.33221156684783,36.29766694711864,190100,2025-04-30,일반,2025-06-18
용황주유소,경상북도 경주시 원화로494 (용강동),경상북도 경주시 원화로 494 (용강동),4713012500113150005,129.22262652437192,35.86418775687309,1099000,2025-04-30,일반,2025-06-18
에스원에너지(주) 용상주유소,경상북도 경산시 대경로98 (하양읍),경상북도 경산시 대경로 98 (하양읍),4729025034104400007,128.765231420919,35.87939753905178,778600,2025-04-30,일반,2025-06-18
선읍주유소,경기도 이천시 경충대로399 (장호원읍),경기도 이천시 경충대로 399 (장호원읍),4150025028100010002,127.59446511340327,37.14187429847565,198300,2025-01-24,일반,2025-06-18
혁신주유소,울산광역시 중구 북부순환도로492 (교동),울산광역시 중구 북부순환도로 492 (교동),3111010700101520008,129.31471040184206,35.56266172242178,1310000,2025-04-30,일반,2025-06-18
KH에너지(주) 직영 미산주유소,경기도 시흥시 시흥대로944 (미산동),경기도 시흥시 시흥대로 944 (미산동),4139010500102510001,126.78972715758248,37.42068623535343,2003000,2025-04-30,일반,2025-06-18
길명주유소,경기도 포천시 영일로697 (일동면),경기도 포천시 영일로 697 (일동면),4165037021104520008,127.2834475110619,37.93869593411615,115600,2025-04-30,일반,2025-06-18
눌제주유소,전라북도 정읍시 관청길95 (고부면),전북특별자치도 정읍시 관청길 95 (고부면),5218034021105450001,126.74263413026029,35.61591199959651,29300,2025-04-30,일반,2025-06-18
금촌IC주유소,경기도 파주시 파주로725 (교하동),경기도 파주시 파주로 725 (교하동),4148010700100700033,126.76389658840264,37.74568001747439,1043000,2025-04-30,일반,2025-06-18
금강주유소,대전광역시 서구 갈마로174 (괴정동),대전광역시 서구 갈마로 174 (괴정동),3017010800101350002,127.37556681100568,36.33854585659788,1500000,2025-04-30,일반,2025-06-18
서부IC주유소,대구광역시 달서구 달구벌대로1517 (용산동),대구광역시 달서구 달구벌대로 1516 (감삼동),2729011300105990069,128.53296348716017,35.849346877900444,4408000,2025-04-30,일반,2025-06-18
유성주유소,부산광역시 사상구 낙동대로860 (감전동),부산광역시 사상구 낙동대로 861 (감전동),2653010500105080012,128.9702613547176,35.13756749545119,2062000,2025-04-30,일반,2025-06-18
남양주유소,전라남도 강진군 마량7길1 (마량면),전라남도 강진군 마량7길 1 (마량면),4681040024109870065,126.8165815202296,34.45033629411185,366400,2025-04-30,일반,2025-06-18
