대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),위도,경도,adm_cd2,parcel_300m,parcel_500m,nearest_parcel_m,poi_store_300m,poi_hotel_300m,poi_restaurant_300m
가설건축,강원특별자치도 원주시 호저면 주산리 861,강원특별자치도,3346,24269,4,0.06,37.42238379,127.9200931,5113032000.0,270,621,0.0,0,0,0
가설건축,강원특별자치도 강릉시 성산면 관음리 563,강원특별자치도,3412,12489,3,0.03,37.73069595,128.8261757,5115031000.0,165,490,0.0,0,0,0
가설건축,강원특별자치도 동해시 귀운동 152-11,강원특별자치도,13192,2928,17,0.02,37.47997283,129.0955111,5117060000.0,441,1051,0.0,0,0,2
가설건축,강원특별자치도 동해시 구호동 235-17,강원특별자치도,13192,18324,17,0.02,37.47571348,129.1355504,5117060000.0,168,565,0.0,0,0,0
가설건축,강원특별자치도 동해시 대구동 462-6,강원특별자치도,13192,18324,17,0.02,37.46700658,129.1449589,5117060000.0,138,429,0.0,0,0,0
가설건축,강원특별자치도 원주시 흥업면 사제리 1263,강원특별자치도,15011,12602,7,0.02,37.33235213,127.8861963,5113037000.0,233,472,0.0,1,0,2
가설건축,강원특별자치도 원주시 흥업면 대안리 393-19,강원특별자치도,15011,12602,7,0.02,37.31308239,127.8907519,5113037000.0,215,564,0.0,0,0,0
가설건축,강원특별자치도 춘천시 동내면 사암리 1248-2,강원특별자치도,16439,9664,0,0.03,37.84114302,127.7660245,5111039000.0,689,1479,0.0,1,0,4
가설건축,강원특별자치도 횡성군 횡성읍 학곡리 879-4,강원특별자치도,20311,14912,17,0.03,37.50422245,127.9558531,5173025000.0,208,457,0.0,1,0,1
가설건축,강원특별자치도 춘천시 신동 1230,강원특별자치도,25236,9421,5,0.01,37.92157599,127.7314836,5111070500.0,218,569,0.0,0,0,0
가설건축,경기도 양주시 남면 입암리 301-6,경기도,7751,13358,4,0.04,37.89133144,126.9943532,4163032000.0,335,643,0.0,0,0,0
가설건축,경기도 안산시 단원구 선감동 684-7,경기도,8864,7662,17,0.05,37.23353893,126.6243135,4127361000.0,195,371,0.0,2,44,3
가설건축,경기도 파주시 월롱면 도내리 225-5,경기도,9623,2335,4,0.06,37.78475715,126.8229737,4148031000.0,209,582,0.0,0,0,0
가설건축,경기도 화성시 팔탄면 월문리 261,경기도,15311,40164,17,0.1,37.12436116,126.8726449,4159036000.0,230,444,0.0,0,0,0
가설건축,경기도 화성시 팔탄면 창곡리 257,경기도,15311,60277,17,0.1,37.19037283,126.8833193,4159036000.0,447,999,0.0,2,0,5
가설건축,경기도 여주시 가업동 140,경기도,24782,35957,9,0.02,37.26547446,127.6256157,4167052000.0,172,579,0.0,2,0,3
가설건축,경기도 평택시 청북읍 고렴리 387-1,경기도,28391,40468,4,0.02,37.05467991,126.9203264,4122025900.0,533,1170,0.0,0,0,0
