대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),위도,경도
근린생활시설,강원특별자치도 강릉시 옥천동 62-3,강원특별자치도 강릉시 옥천동,3236,8976,52,0.11,37.755159,128.899514
근린생활시설,강원특별자치도 원주시 단계동 879-1,강원특별자치도 원주시 무실동,34464,47596,9,0.02,37.344193,127.928458
근린생활시설,강원특별자치도 원주시 반곡동 1141,강원특별자치도 원주시 반곡관설동,45914,36457,6,0.02,37.319765,127.971753
근린생활시설,강원특별자치도 홍천군 홍천읍 희망리 398-2,강원특별자치도 홍천군 홍천읍,32605,21962,41,0.03,37.68861,127.877689
근린생활시설,강원특별자치도 춘천시 후평동 735-23,강원특별자치도 춘천시 후평1동,13775,18836,5,0.02,37.885833,127.752159
근린생활시설,경기도 가평군 가평읍 읍내리 615-12,경기도 가평군 가평읍,19438,27704,150,0.03,37.832811,127.510032
근린생활시설,경기도 부천시 소사구 괴안동 112-23,경기도 부천시 소사구 역곡3동,23416,9736,,0.02,37.483804,126.809588
근린생활시설,경기도 가평군 청평면 대성리 344-22,경기도 가평군 청평면,12863,5134,106,0.03,37.698207,127.385043
근린생활시설,경기도 포천시 선단동 557,경기도 포천시 선단동,18136,28033,,0.03,37.848436,127.161731
근린생활시설,경기도 군포시 대야미동 5,경기도 군포시 대야동,9075,94213,1,0.02,37.338024,126.925207
근린생활시설,경상남도 김해시 삼계동 1460-5,경상남도 김해시 북부동,82345,30599,20,0.01,35.262745,128.872034
근린생활시설,경상남도 김해시 삼정동 616-3,경상남도 김해시 활천동,40591,98741,46,0.02,35.228089,128.896945
근린생활시설,경상남도 김해시 삼정동 616-5,경상남도 김해시 활천동,40591,98741,46,0.02,35.227967,128.89654
근린생활시설,경상남도 김해시 외동 238-19,경상남도 김해시 내외동,72268,81441,9,0.02,35.229585,128.862941
근린생활시설,경상남도 통영시 봉평동 124-7,경상남도 통영시 봉평동,9363,9785,14,0.02,34.831024,128.416485
근린생활시설,경상북도 포항시 북구 장성동 1576-5,경상북도 포항시 북구 장량동,70669,8963,,0.02,36.074708,129.384932
근린생활시설,경상북도 포항시 남구 상도동 601,경상북도 포항시 남구 상대동,23665,37969,,0.04,36.015425,129.352664
근린생활시설,경상북도 포항시 북구 죽도동 699-1,경상북도 포항시 북구 죽도동,19406,36156,,0.05,36.018455,129.348041
근린생활시설,경상북도 경주시 황오동 307-2,경상북도 경주시 황오동,5937,25475,155,0.06,35.841554,129.215383
근린생활시설,경상북도 경주시 황남동 271-46,경상북도 경주시 황남동,3845,25475,1,0.06,35.838983,129.209704
근린생활시설,광주광역시 광산구 흑석동 530,광주광역시 광산구 수완동,74166,63810,,0.01,35.182102,126.809338
근린생활시설,광주광역시 동구 월남동 625,광주광역시 동구 지원2동,17169,52845,,0.01,35.102905,126.938687
근린생활시설,광주광역시 광산구 산정동 143-16,광주광역시 광산구 월곡2동,21404,63810,,0.02,35.165755,126.801356
근린생활시설,광주광역시 북구 신안동 335-1,광주광역시 북구 신안동,12894,134317,41,0.03,35.171554,126.89478
근린생활시설,광주광역시 동구 동명동 12-3,광주광역시 동구 동명동,4030,97671,2,0.05,35.149745,126.929079
근린생활시설,대구광역시 동구 신서동 718,대구광역시 동구 안심4동,27078,72253,1,0.02,35.869648,128.728119
근린생활시설,대구광역시 중구 동성로2가 150-16,대구광역시 중구 성내1동,4752,135921,17,0.22,35.868814,128.595212
근린생활시설,대구광역시 북구 태전동 1049-2,대구광역시 북구 태전2동,23925,41578,6,0.02,35.926851,128.547885
근린생활시설,대구광역시 동구 신천동 300-2,대구광역시 동구 신천4동,7945,27690,45,0.07,35.868132,128.627095
근린생활시설,대구광역시 중구 봉산동 5-4,대구광역시 중구 성내1동,4752,135921,17,0.22,35.866815,128.595402
근린생활시설,대전광역시 서구 가수원동 655-4,대전광역시 서구 가수원동,10235,44361,,0.02,36.303588,127.348442
근린생활시설,대전광역시 서구 가장동 54-26,대전광역시 서구 가장동,10789,44361,1,0.01,36.334344,127.388954
근린생활시설,대전광역시 중구 대흥동 452-2,대전광역시 중구 대흥동,13200,51477,50,0.04,36.325027,127.423511
근린생활시설,대전광역시 중구 은행동 166-2,대전광역시 중구 은행선화동,13975,98950,41,0.06,36.327472,127.427417
근린생활시설,대전광역시 동구 성남동 502-2,대전광역시 동구 성남동,10895,98950,3,0.02,36.347798,127.434265
근린생활시설,부산광역시 금정구 구서동 163-2,부산광역시 금정구 구서2동,30692,70579,2,0.01,35.259028,129.090971
근린생활시설,부산광역시 부산진구 범전동 383-25,부산광역시 부산진구 부전1동,15192,74754,68,0.08,35.165382,129.064292
근린생활시설,부산광역시 강서구 대저1동 2530-3,부산광역시 강서구 대저1동,5604,74754,,0.15,35.211385,128.984494
근린생활시설,부산광역시 사상구 주례동 189-9,부산광역시 사상구 주례2동,25037,134118,1,0.01,35.150718,129.00977
