대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량,숙박업소(관광지수),상권밀집도(비율),공시지가(토지단가)
근린생활시설,강원특별자치도 강릉시 옥천동 62-3,강원특별자치도 강릉시 옥천동,3236,,,0.11,
근린생활시설,강원특별자치도 원주시 단계동 879-1,강원특별자치도 원주시 무실동,34464,,,0.02,
근린생활시설,강원특별자치도 원주시 반곡동 1141,강원특별자치도 원주시 반곡관설동,45914,,,0.02,
근린생활시설,강원특별자치도 홍천군 홍천읍 희망리 398-2,강원특별자치도 홍천군 홍천읍,32605,,,0.03,
근린생활시설,강원특별자치도 춘천시 후평동 735-23,강원특별자치도 춘천시 후평1동,13775,,,0.02,
근린생활시설,경기 가평군 가평읍 읍내리 615-12,경기도 가평군 가평읍,19438,,,0.03,
근린생활시설,경기 부천시 소사구 괴안동 112-23,경기도 부천시 소사구 역곡3동,23416,,,0.02,
근린생활시설,경기 가평군 청평면 대성리 344-22,경기도 가평군 청평면,12863,,,0.03,
근린생활시설,경기 포천시 선단동 557,경기도 포천시 선단동,18136,,,0.03,
근린생활시설,경기 군포시 대야미동 5,경기도 군포시 대야동,9075,,,0.02,
근린생활시설,경남 김해시 삼계동 1460-5,경상남도 김해시 북부동,82345,,,0.01,
근린생활시설,경남 김해시 삼정동 616-3,경상남도 김해시 활천동,40591,,,0.02,
근린생활시설,경남 김해시 삼정동 616-5,경상남도 김해시 활천동,40591,,,0.02,
근린생활시설,경남 김해시 외동 238-19,경상남도 김해시 내외동,72268,,,0.02,
근린생활시설,경남 통영시 봉평동 124-7,경상남도 통영시 봉평동,9363,,,0.02,
근린생활시설,경북 포항시 북구 장성동 1576-5,경상북도 포항시 북구 장량동,70669,,,0.02,
근린생활시설,경북 포항시 남구 상도동 601,경상북도 포항시 남구 상대동,23665,,,0.04,
근린생활시설,경북 포항시 북구 죽도동 699-1,경상북도 포항시 북구 죽도동,19406,,,0.05,
근린생활시설,경북 경주시 황오동 307-2,경상북도 경주시 황오동,5937,,,0.06,
근린생활시설,경북 경주시 황남동 271-46,경상북도 경주시 황남동,3845,,,0.06,
근린생활시설,광주 광산구 흑석동 530,광주광역시 광산구 수완동,74166,,,0.01,
근린생활시설,광주 동구 월남동 625,광주광역시 동구 지원2동,17169,,,0.01,
근린생활시설,광주 광산구 산정동 143-16,광주광역시 광산구 월곡2동,21404,,,0.02,
근린생활시설,광주 북구 신안동 335-1,광주광역시 북구 신안동,12894,,,0.03,
근린생활시설,광주 동구 동명동 12-3,광주광역시 동구 동명동,4030,,,0.05,
근린생활시설,대구 동구 신서동 718,대구광역시 동구 안심4동,27078,,,0.02,
근린생활시설,대구 중구 동성로2가 150-16,대구광역시 중구 성내1동,4752,,,0.22,
근린생활시설,대구 북구 태전동 1049-2,대구광역시 북구 태전2동,23925,,,0.02,
근린생활시설,대구 동구 신천동 300-2,대구광역시 동구 신천4동,7945,,,0.07,
근린생활시설,대구 중구 봉산동 5-4,대구광역시 중구 성내1동,4752,,,0.22,
근린생활시설,대전 서구 가수원동 655-4,대전광역시 서구 가수원동,10235,,,0.02,
근린생활시설,대전 서구 가장동 54-26,대전광역시 서구 가장동,10789,,,0.01,
근린생활시설,대전 중구 대흥동 452-2,대전광역시 중구 대흥동,13200,,,0.04,
근린생활시설,대전 중구 은행동 166-2,대전광역시 중구 은행선화동,13975,,,0.06,
근린생활시설,대전 동구 성남동 502-2,대전광역시 동구 성남동,10895,,,0.02,
근린생활시설,부산 금정구 구서동 163-2,부산광역시 금정구 구서2동,30692,,,0.01,
근린생활시설,부산 부산진구 범전동 383-25,부산광역시 부산진구 부전1동,15192,,,0.08,
근린생활시설,부산 강서구 대저1동 2530-3,부산광역시 강서구 대저1동,5604,,,0.15,
근린생활시설,부산 사상구 주례동 189-9,부산광역시 사상구 주례2동,25037,,,0.01,
근린생활시설,부산 사하구 하단동 1157-17,부산광역시 사하구 하단2동,26852,,,0.02,
근린생활시설,서울 강서구 등촌동 630,서울특별시 강서구 등촌1동,24308,,,0.02,
근린생활시설,서울 양천구 신월동 199-3,서울특별시 양천구 신월3동,14226,,,0.02,
근린생활시설,서울 서초구 양재동 81,서울특별시 서초구 양재1동,40223,,,0.03,
근린생활시설,서울 양천구 신월동 205-48,서울특별시 양천구 신월3동,14226,,,0.02,
근린생활시설,서울 강서구 화곡동 772-67,서울특별시 강서구 화곡4동,19617,,,0.02,
근린생활시설,울산 남구 삼산동 1550-7,울산광역시 남구 삼산동,47809,,,0.05,
근린생활시설,울산 남구 달동 1313-9,울산광역시 남구 삼산동,47809,,,0.05,
근린생활시설,울산 중구 복산동 40-6,울산광역시 중구 복산동,17417,,,0.01,
근린생활시설,울산 북구 연암동 1260-3,울산광역시 북구 효문동,29237,,,0.04,
근린생활시설,울산 울주군 삼남읍 가천리 1132-17,울산광역시 울주군 삼남읍,22317,,,0.02,
근린생활시설,인천 중구 덕교동 615-12,인천광역시 중구 용유동,3288,,,0.06,
근린생활시설,인천 남동구 구월동 1185,인천광역시 남동구 구월1동,31328,,,0.02,
근린생활시설,인천 남동구 구월동 1120-16,인천광역시 남동구 구월3동,29993,,,0.04,
근린생활시설,인천 연수구 송도동 8-17,인천광역시 연수구 송도1동,38403,,,0.02,
근린생활시설,인천 남동구 구월동 279-3,인천광역시 남동구 구월1동,31328,,,0.02,
근린생활시설,전남 광양시 중동 1309-3,전라남도 광양시 중마동,56681,,,0.02,
근린생활시설,전남 순천시 조례동 382-1,전라남도 순천시 왕조1동,37680,,,0.02,
근린생활시설,전남 광양시 마동 421-2,전라남도 광양시 중마동,56681,,,0.02,
근린생활시설,전남 장성군 장성읍 영천리 1481-20,전라남도 장성군 장성읍,12715,,,0.03,
근린생활시설,전남 목포시 무안동 1-3,전라남도 목포시 목원동,6544,,,0.05,
근린생활시설,전북특별자치도 전주시 완산구 경원동1가 40-5,전북특별자치도 전주시 완산구 풍남동,3745,,,0.13,
근린생활시설,전북특별자치도 정읍시 수성동 524-17,전북특별자치도 정읍시 수성동,16490,,,0.03,
근린생활시설,전북특별자치도 전주시 덕진구 송천동2가 527,전북특별자치도 전주시 덕진구 송천1동,63864,,,0.01,
근린생활시설,전북특별자치도 전주시 완산구 효자동1가 411-24,전북특별자치도 전주시 완산구 효자3동,14006,,,0.02,
근린생활시설,전북특별자치도 군산시 중앙로1가 12-2,전북특별자치도 군산시 월명동,4490,,,0.06,
근린생활시설,제주특별자치도 제주시 건입동 940-15,제주특별자치도 제주시 건입동,9010,,,0.02,
근린생활시설,제주특별자치도 제주시 이도이동 1991-9,제주특별자치도 제주시 이도2동,48436,,,0.03,
근린생활시설,제주특별자치도 제주시 연동 2325-7,제주특별자치도 제주시 연동,43976,,,0.03,
근린생활시설,제주특별자치도 제주시 조천읍 함덕리 270-1,제주특별자치도 제주시 조천읍,24995,,,0.03,
