행정구역,순위,인구 천명당 사업체수(개),비율(%)
합계,,"488,369.26",100
서울특별시 중구 명동,1,"3,176.58",0.65
서울특별시 중구 을지로동,2,"2,663.20",0.55
서울특별시 종로구 종로1·2·3·4가동,3,"2,388.49",0.49
부산광역시 중구 광복동,4,"2,315.14",0.47
부산광역시 중구 남포동,5,"2,105.36",0.43
서울특별시 서초구 반포본동,6,"2,100.92",0.43
서울특별시 중구 회현동,7,"1,976.94",0.4
서울특별시 중구 소공동,8,"1,730.59",0.35
경기도 시흥시 과림동,9,"1,348.79",0.28
서울특별시 중구 신당동,10,"1,250.83",0.26
부산광역시 중구 중앙동,11,"1,244.27",0.25
서울특별시 종로구 종로5·6가동,12,"1,229.96",0.25
서울특별시 중구 광희동,13,"1,229.18",0.25
대구광역시 중구 성내1동,14,"1,061.66",0.22
광주광역시 동구 충장동,15,"1,056.49",0.22
광주광역시 서구 서창동,16,"1,055.19",0.22
경기도 광명시 학온동,17,928.65,0.19
강원특별자치도 원주시 중앙동,18,927.95,0.19
부산광역시 강서구 대저2동,19,909.75,0.19
서울특별시 금천구 가산동,20,885.52,0.18
대구광역시 중구 성내2동,21,878.93,0.18
대전광역시 동구 중앙동,22,877.01,0.18
서울특별시 강동구 둔촌1동,23,846.15,0.17
경기도 광명시 광명1동,24,810.81,0.17
전라남도 여수시 삼일동,25,805.68,0.16
서울특별시 성동구 성수2가3동,26,759.69,0.16
부산광역시 강서구 대저1동,27,728.59,0.15
경기도 하남시 춘궁동,28,727.88,0.15
부산광역시 동구 범일2동,29,702.06,0.14
대구광역시 북구 노원동,30,691.24,0.14
경기도 파주시 교하동,31,669.91,0.14
서울특별시 강남구 삼성1동,32,657.79,0.13
전라남도 순천시 장천동,33,654.33,0.13
전북특별자치도 전주시 완산구 풍남동,34,644.06,0.13
서울특별시 중구 필동,35,630.17,0.13
제주특별자치도 제주시 일도1동,36,616.44,0.13
충청북도 충주시 성내·충인동,37,608.52,0.12
경기도 남양주시 양정동,38,604.07,0.12
대구광역시 중구 대신동,39,582.71,0.12
서울특별시 종로구 사직동,40,579.56,0.12
강원특별자치도 강릉시 중앙동,41,577.94,0.12
서울특별시 강남구 역삼1동,42,572.38,0.12
서울특별시 영등포구 여의동,43,564.17,0.12
인천광역시 동구 송현3동,44,556.93,0.11
부산광역시 사상구 감전동,45,547.36,0.11
인천광역시 동구 송림4동,46,543.03,0.11
경기도 하남시 초이동,47,535.57,0.11
경상북도 구미시 원평동,48,532.09,0.11
경상북도 구미시 공단동,49,529.04,0.11
강원특별자치도 강릉시 옥천동,50,514.83,0.11
경상남도 김해시 상동면,51,501.63,0.1
경상북도 칠곡군 지천면,52,500.48,0.1
경상남도 창원시 마산회원구 봉암동,53,497.37,0.1
서울특별시 마포구 서교동,54,494.63,0.1
부산광역시 중구 부평동,55,494.35,0.1
경기도 화성시 팔탄면,56,486.9,0.1
서울특별시 영등포구 영등포동,57,483.05,0.1
경상남도 창원시 성산구 웅남동,58,482.37,0.1
경상북도 경주시 보덕동,59,479.71,0.1
