행정구역,순위,2023년 수(명),비율(%)
합계,,"51,774,521",100
경상남도 양산시 물금읍,1,"118,027",0.23
경기도 남양주시 화도읍,2,"112,105",0.22
경기도 화성시 향남읍,3,"98,676",0.19
경기도 남양주시 다산1동,4,"98,503",0.19
경기도 남양주시 진접읍,5,"96,569",0.19
경기도 화성시 봉담읍,6,"95,584",0.18
대구광역시 달성군 다사읍,7,"92,560",0.18
충청남도 아산시 배방읍,8,"86,956",0.17
경상남도 김해시 북부동,9,"82,345",0.16
부산광역시 기장군 정관읍,10,"79,489",0.15
경기도 남양주시 별내동,11,"77,318",0.15
광주광역시 광산구 수완동,12,"74,166",0.14
경상남도 김해시 내외동,13,"72,268",0.14
경상남도 김해시 장유3동,14,"71,923",0.14
경상북도 포항시 북구 장량동,15,"70,669",0.14
충청북도 청주시 청원구 오창읍,16,"68,963",0.13
경기도 파주시 운정3동,17,"67,061",0.13
울산광역시 울주군 범서읍,18,"65,700",0.13
전북특별자치도 전주시 덕진구 송천1동,19,"63,864",0.12
인천광역시 서구 아라동,20,"62,573",0.12
경기도 파주시 운정2동,21,"62,405",0.12
경기도 안성시 공도읍,22,"62,193",0.12
충청남도 천안시 서북구 부성2동,23,"62,000",0.12
경상남도 창원시 마산회원구 내서읍,24,"61,497",0.12
경기도 화성시 남양읍,25,"59,487",0.11
경상남도 김해시 진영읍,26,"58,975",0.11
충청남도 천안시 동남구 청룡동,27,"58,598",0.11
경기도 김포시 풍무동,28,"58,373",0.11
경기도 평택시 비전2동,29,"57,579",0.11
제주특별자치도 제주시 노형동,30,"57,043",0.11
충청북도 청주시 상당구 용암1동,31,"56,962",0.11
경상북도 포항시 남구 오천읍,32,"56,958",0.11
경기도 김포시 김포본동,33,"56,839",0.11
전라남도 광양시 중마동,34,"56,681",0.11
경기도 이천시 증포동,35,"56,466",0.11
경기도 의정부시 송산1동,36,"56,309",0.11
경기도 남양주시 와부읍,37,"55,010",0.11
경기도 화성시 동탄7동,38,"55,001",0.11
경기도 남양주시 호평동,39,"54,989",0.11
경기도 시흥시 은행동,40,"54,550",0.11
전라남도 순천시 해룡면,41,"54,264",0.1
경상남도 김해시 장유1동,42,"54,254",0.1
충청북도 청주시 흥덕구 가경동,43,"54,189",0.1
대전광역시 유성구 온천2동,44,"54,074",0.1
부산광역시 강서구 명지1동,45,"53,576",0.1
인천광역시 서구 검암경서동,46,"53,521",0.1
경기도 수원시 영통구 광교1동,47,"53,335",0.1
서울특별시 은평구 진관동,48,"52,789",0.1
경기도 하남시 미사1동,49,"52,455",0.1
경기도 광주시 초월읍,50,"52,317",0.1
인천광역시 연수구 송도3동,51,"52,283",0.1
전북특별자치도 군산시 수송동,52,"52,171",0.1
경기도 안산시 단원구 초지동,53,"52,046",0.1
부산광역시 기장군 기장읍,54,"51,393",0.1
경기도 화성시 동탄4동,55,"51,346",0.1
경기도 용인시 수지구 성복동,56,"51,222",0.1
경기도 남양주시 오남읍,57,"51,025",0.1
충청남도 천안시 서북구 부성1동,58,"51,022",0.1
경기도 양주시 옥정2동,59,"51,014",0.1
경기도 화성시 진안동,60,"51,009",0.1
경기도 평택시 비전1동,61,"50,766",0.1
대구광역시 달서구 진천동,62,"50,657",0.1
서울특별시 강서구 화곡1동,63,"50,568",0.1
충청북도 청주시 흥덕구 복대1동,64,"49,996",0.1
경기도 양주시 양주2동,65,"49,888",0.1
충청남도 천안시 동남구 신안동,66,"49,621",0.1
경기도 화성시 동탄1동,67,"49,317",0.1
경기도 수원시 영통구 원천동,68,"49,289",0.1
경기도 용인시 수지구 동천동,69,"48,698",0.09
경상남도 창원시 의창구 의창동,70,"48,601",0.09
서울특별시 양천구 신정3동,71,"48,438",0.09
제주특별자치도 제주시 이도2동,72,"48,436",0.09
세종특별자치시 세종시 조치원읍,73,"48,399",0.09
대전광역시 서구 관저2동,74,"48,215",0.09
