대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),추천_대분류,추천_유사도
가설건축,강원특별자치도 원주시 호저면 주산리 861,강원특별자치도,3346,24269,4,0.06,판매시설,0.833262088921238
가설건축,강원특별자치도 강릉시 성산면 관음리 563,강원특별자치도,3412,12489,3,0.03,판매시설,0.9503818963840766
가설건축,강원특별자치도 동해시 귀운동 152-11,강원특별자치도,13192,2928,17,0.02,근린생활시설,0.9718321050171114
가설건축,강원특별자치도 동해시 구호동 235-17,강원특별자치도,13192,18324,17,0.02,근린생활시설,0.8950090529340675
가설건축,강원특별자치도 동해시 대구동 462-6,강원특별자치도,13192,18324,17,0.02,근린생활시설,0.8950090529340675
가설건축,강원특별자치도 원주시 흥업면 사제리 1263,강원특별자치도,15011,12602,7,0.02,가설건축,0.9792058045810691
가설건축,강원특별자치도 원주시 흥업면 대안리 393-19,강원특별자치도,15011,12602,7,0.02,가설건축,0.9792058045810691
가설건축,강원특별자치도 춘천시 동내면 사암리 1248-2,강원특별자치도,16439,9664,0,0.03,가설건축,0.8957299520390097
가설건축,강원특별자치도 횡성군 횡성읍 학곡리 879-4,강원특별자치도,20311,14912,17,0.03,업무시설,0.9739674697137338
가설건축,강원특별자치도 춘천시 신동 1230,강원특별자치도,25236,9421,5,0.01,자동차관련시설,0.9086346696412992
가설건축,경기도 양주시 남면 입암리 301-6,경기도,7751,13358,4,0.04,가설건축,-0.29065504381326274
가설건축,경기도 안산시 단원구 선감동 684-7,경기도,8864,7662,17,0.05,근린생활시설,-0.4539433532360607
가설건축,경기도 파주시 월롱면 도내리 225-5,경기도,9623,2335,4,0.06,가설건축,-0.08908180202781335
가설건축,경기도 화성시 팔탄면 월문리 261,경기도,15311,40164,17,0.1,숙박시설,0.5978484655702829
가설건축,경기도 화성시 팔탄면 창곡리 257,경기도,15311,60277,17,0.1,숙박시설,0.7584126244134747
가설건축,경기도 여주시 가업동 140,경기도,24782,35957,9,0.02,공장,0.9737241785448923
가설건축,경기도 평택시 청북읍 고렴리 387-1,경기도,28391,40468,4,0.02,공장,0.9896020096232746
가설건축,경기도 평택시 포승읍 만호리 647,경기도,29369,19567,25,0.02,근린생활시설,0.8476970045420537
가설건축,경기도 고양시 덕양구 관산동 222-2,경기도,35104,26082,5,0.02,자동차관련시설,0.965593708384744
가설건축,경기도 고양시 일산동구 풍동 634-9,경기도,36070,17524,0,0.02,가설건축,0.9309486697211211
가설건축,경상남도 함안군 대산면 평림리 616-8,경상남도,3307,2175,2,0.04,공장,0.9509513783035705
가설건축,경상남도 창원시 마산합포구 진북면 대티리 810,경상남도,3501,3891,2,0.06,공장,0.9043715270305128
가설건축,경상남도 함안군 칠서면 태곡리 110-1,경상남도,5635,14596,5,0.05,숙박시설,0.8845758298855277
가설건축,경상남도 김해시 진례면 시례리 214번지 일원,경상남도,8067,17497,3,0.08,가설건축,0.9405113484620293
가설건축,경상남도 김해시 한림면 장방리 940-1,경상남도,9229,21099,7,0.09,가설건축,0.9601881926082821
가설건축,경상남도 김해시 한림면 퇴래리 1247-4,경상남도,9229,30451,7,0.09,가설건축,0.8802887923519273
가설건축,경상남도 김해시 한림면 용덕리 278-1,경상남도,9229,30451,7,0.09,가설건축,0.8802887923519273
가설건축,경상남도 창원시 진해구 남문동 1189-2,경상남도,12859,31070,7,0.02,자동차관련시설,0.7055811399875686
가설건축,경상남도 창원시 성산구 중앙동 70-11,경상남도,36021,51252,127,0.04,판매시설,0.8426895151652667
가설건축,경상남도 진주시 가좌동 660,경상남도,36140,33990,0,0.01,업무시설,0.4726997765147799
가설건축,경상북도 경주시 서면 아화리 754-1,경상북도,2965,19433,2,0.03,근린생활시설,0.8579764393077212
가설건축,경상북도 칠곡군 가산면 천평리 612-148,경상북도,3483,30561,10,0.08,근린생활시설,0.8680192181710931
